지층/토사 후보 도면 정밀 텍스트 추출 결과
========================================================================================================================

[대상 파일]
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\1.토공사\C-106~110 단지횡단면도(1)~(5).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\6.가시설공사\C-648 흙막이시공 및 해체 순서도 (1).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\단면도 모음.dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\가시설 상세도 합본.dxf

[키워드 후보 텍스트]
------------------------------------------------------------------------------------------------------------------------
C-106~110 단지횡단면도(1)~(5).dxf | GH:41.64 | x=6162.5, y=2776.8, layer=@원지반, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | 풍화암 | x=6347.6, y=2766.7, layer=0, type=TEXT, source=modelspace
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 39.497 | x=4822.1, y=2719.3, layer=주상도, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 매립층 | x=4820.8, y=2718.1, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=4820.8, y=2716.4, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=4820.8, y=2714.4, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화암 | x=4820.8, y=2712.9, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 보통암 | x=4820.8, y=2707.5, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 38.346 | x=4881.2, y=2718.1, layer=주상도, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 매립층 | x=4879.9, y=2717.5, layer=Layer, type=BLOCK_TEXT, source=virtual_block
